polarity,tweet
0.5,SlayBater3 Lakers ToyotaSoCal Nah let Kieff get some more minutes hell get in rhythm from this
-0.004545455,Our first time streaming a Thunder game this season Lets see how they match up against the Champs We are live fo
0,LETS GO Lakers nba faith believe FanForLife Kuzmania KuzControl lakeshow
0,JUSTREV3RSE Officialj0nn Lakers ToyotaSoCal Yikes
-0.4,Lakers ToyotaSoCal Mvp game from bron
0,The Lakers starting Schroder CaldwellPope LeBron Morris Gasol on Monday LakeShow NBA
0.475,The lakers are playing soon and this was my run view so Im feeling pretty good
0,Lakers ToyotaSoCal markieff morris looking at Kuz in the lockerroom as Vogel announces the starters
-0.375,Lakers ToyotaSoCal Rest legoat dumb ducks
0.65,God give his toughest battles to his toughest soldiers Happy 13 birthday Ossan keep fighting kid when u get better
0,kobehighlight Lakers he eat up
0,Lakers MONSTATREZZ Keefmorris ADisney
0,joe30269128 MagicJohnson Lakers Brandon Ingram got the trade made he was just part of the money part to make d
0,ACsGoat Officialj0nn Lakers ToyotaSoCal not again
0,vJadenv Lakers ToyotaSoCal After he retires
0,ACsGoat Officialj0nn Lakers ToyotaSoCal youre
0,Lakers ToyotaSoCal goodluck boys
0.433333333,Lakers ToyotaSoCal Another easy W
0.8,Lakers ToyotaSoCal Who getting Eddie Jonesd 2night Lol
0,Lakers ToyotaSoCal Kuz will be running the second unit with THT
-1,MANNYTADA MagicJohnson Lakers Nah he got yall AD cant be the worst or one of the worst
-0.087878788,NBA Live Scores Game open Follow to get updates as LAL hosts OKC Lakers okcthunder NBA
0,Lakers ToyotaSoCal Hopefully Kieff gets in rhythm from this
0,Lakers Shay Sharpe is correct
0,Lakers ToyotaSoCal no kuz start huh
0,Officialj0nn Lakers ToyotaSoCal Ratio
-0.8,jordan200019 Officialj0nn Lakers ToyotaSoCal He has notis on to hate
0,Officialj0nn Lakers ToyotaSoCal You everytime waiting for a lakers post
0.1,vJadenv Lakers ToyotaSoCal he chasing kareem he only finna sit if hes really hurt
0,khalifatits Lakers ToyotaSoCal Have you seen Kuzmas production as a starter vs coming off the bench Especially when AD is out
0,Lakers ToyotaSoCal Kuz should be starting
0,Lakers MONSTATREZZ Keefmorris coach should let keef play
0,Lakers ToyotaSoCal Jazz in 4
0,Lakers beatsbydre KingJames ACFresh21 Trash outfits
0,Lakers ToyotaSoCal bron should have been resting
0.5,Lakers ToyotaSoCal Win a real ring
0,vJadenv Lakers ToyotaSoCal Never he going for mvp
0,atrupar As they should be Lakers Buccaneers
0.1,Officialj0nn Lakers ToyotaSoCal You really post every second on our page loser
0,Lakers kylekuzma spectrum sportsnet is back It was spectrumdown
0,lalfan4eva Lakers ToyotaSoCal I hope you are joking dawg
0,ixsxaxcxc Lakers ToyotaSoCal You gotta turn Laker notifications off and associate with some women
0.5,vJadenv Lakers ToyotaSoCal He wants mvp cmon now lol
0,Lakers ToyotaSoCal Rest LeBron too
0.8,Lakers ToyotaSoCal No AD or Carous lets still win
0,Lakers ToyotaSoCal Havent seen Keef in ages sheesh but Start kuz tho
-0.1,Lakers ToyotaSoCal Not a real contender
0.5,Lakers ToyotaSoCal Win a real Ring
0.2,vJadenv Lakers ToyotaSoCal He really should
0.285714286,Officialj0nn Lakers ToyotaSoCal Your right heres ur L
0.5,Lakers ToyotaSoCal ehh i would rather have kuz in there over keef he could probably produce more
0,lemickey7 Lakers ToyotaSoCal Get ratiod
